Game,Date,Hours Played,Recommendation,Helpful Votes
1222670,2020-09-09,1216.2,Recommended,2
1222670,2021-02-11,1.2,Not Recommended,121
1222670,2022-10-26,30.5,Recommended,24
1222670,2022-09-15,846.8,Recommended,22
1222670,2022-10-18,1268.0,Not Recommended,42
1222670,2023-06-30,2840.7,Recommended,41
1222670,2023-11-01,92.9,Recommended,29
1222670,2021-02-15,37.0,Recommended,17
1222670,2023-04-03,228.7,Recommended,44
1222670,2024-12-16,12.2,Recommended,14
1222670,2023-07-30,986.3,Not Recommended,20
1222670,2021-11-26,60.2,Not Recommended,23
1222670,2023-06-08,751.3,Not Recommended,23
1222670,2022-06-03,977.7,Not Recommended,27
1222670,2020-06-22,816.3,Recommended,29
1222670,2022-06-12,1384.3,Recommended,36
1222670,2020-12-27,150.0,Not Recommended,30
1222670,2022-06-08,26.5,Not Recommended,25
1222670,2022-06-03,78.8,Not Recommended,23
1222670,2024-07-02,142.6,Recommended,23
1222670,2023-07-31,19.7,Recommended,20
1222670,2024-11-16,914.5,Recommended,16
1222670,2023-03-25,143.6,Recommended,19
1222670,2021-01-04,76.9,Not Recommended,19
1222670,2021-09-27,175.3,Recommended,37
1222670,2023-06-29,109.7,Recommended,61
1222670,2023-01-16,95.4,Recommended,99
1222670,2021-01-26,875.8,Not Recommended,18
1222670,2022-06-19,156.2,Recommended,20
1222670,2022-07-04,306.5,Not Recommended,17
1222670,2021-07-03,1268.1,Not Recommended,18
1222670,2022-06-23,7.1,Recommended,37
1222670,2024-10-16,624.8,Recommended,32
1222670,2021-12-21,163.5,Recommended,44
1222670,2021-02-22,13.1,Recommended,20
1222670,2021-11-27,2876.8,Recommended,20
1222670,2022-02-20,46.2,Recommended,45
1222670,2024-04-22,679.7,Recommended,1
1222670,2021-12-26,30.0,Not Recommended,28
1222670,2024-09-18,71.7,Not Recommended,14
1222670,2021-09-27,325.0,Recommended,14
1222670,2020-09-13,98.3,Not Recommended,32
1222670,2021-04-29,106.5,Recommended,17
1222670,2021-02-07,0.8,Not Recommended,36
1222670,2023-01-18,12.5,Recommended,156
1222670,2022-07-22,200.5,Recommended,15
1222670,2021-12-28,6.1,Not Recommended,21
1222670,2022-10-19,0.1,Not Recommended,21
1222670,2021-04-07,22.9,Not Recommended,17
1222670,2024-08-02,668.1,Recommended,15
1222670,2022-10-18,379.4,Not Recommended,21
1222670,2023-12-26,83.4,Recommended,21
1222670,2022-02-05,1.6,Not Recommended,20
1222670,2020-12-25,3.5,Not Recommended,20
1222670,2020-07-09,66.8,Recommended,20
1222670,2020-11-26,183.2,Recommended,19
1222670,2022-12-19,153.5,Not Recommended,16
1222670,2024-12-02,1348.6,Recommended,13
1222670,2020-06-25,213.2,Recommended,23
1222670,2022-03-31,383.4,Recommended,18
1222670,2021-11-20,19.0,Not Recommended,14
1222670,2024-01-07,27.3,Not Recommended,16
1222670,2024-02-04,0.5,Not Recommended,18
1222670,2020-06-22,56.3,Not Recommended,33
1222670,2023-06-25,9.1,Not Recommended,17
1222670,2021-02-11,22.9,Recommended,22
1222670,2021-06-27,28.7,Recommended,48
1222670,2022-02-03,0.6,Not Recommended,49
1222670,2022-12-21,263.4,Not Recommended,21
1222670,2020-12-23,29.9,Not Recommended,29
1222670,2022-01-01,246.8,Not Recommended,22
1222670,2020-08-03,1333.6,Not Recommended,16
1222670,2021-02-21,50.9,Recommended,21
1222670,2024-07-02,378.4,Recommended,29
1222670,2023-04-13,499.5,Not Recommended,19
1222670,2024-02-16,23.9,Not Recommended,17
1222670,2023-08-08,593.1,Not Recommended,19
1222670,2024-02-14,0.6,Recommended,114
1222670,2020-12-24,4.9,Not Recommended,25
1222670,2020-06-27,285.8,Not Recommended,57
1222670,2024-04-28,19.0,Recommended,13
1222670,2022-03-17,0.2,Recommended,35
1222670,2020-06-22,219.2,Recommended,37
1222670,2021-06-16,279.6,Not Recommended,18
1222670,2021-06-25,11.6,Not Recommended,26
1222670,2024-06-17,29.6,Not Recommended,15
1222670,2022-03-27,3395.7,Recommended,14
1222670,2020-06-20,9.2,Not Recommended,46
1222670,2021-12-12,505.6,Not Recommended,20
1222670,2023-01-27,0.3,Not Recommended,15
1222670,2021-12-13,0.3,Not Recommended,23
1222670,2023-09-24,205.6,Recommended,38
1222670,2021-01-17,139.6,Recommended,13
1222670,2024-09-30,50.2,Recommended,17
1222670,2021-01-05,0.2,Not Recommended,32
1222670,2020-06-30,448.3,Not Recommended,17
1222670,2023-02-10,187.4,Not Recommended,29
1222670,2020-08-10,1.8,Not Recommended,17
1222670,2022-11-07,222.0,Not Recommended,17
