Game,Date,Hours Played,Recommendation,Helpful Votes
730,2022-04-12,1765.0,Not Recommended,599
730,2023-09-27,1179.5,Recommended,2570
730,2015-10-10,253.4,Recommended,731
730,2014-07-11,73.4,Recommended,5234
730,2015-10-24,3866.3,Recommended,157
730,2014-08-10,4224.1,Recommended,1122
730,2022-01-06,1034.6,Recommended,197
730,2021-08-08,1228.9,Recommended,306
730,2018-10-02,68.9,Recommended,119
730,2020-04-26,1043.8,Recommended,254
730,2020-07-01,2670.8,Recommended,90
730,2019-04-02,149.7,Recommended,424
730,2019-06-20,913.8,Recommended,218
730,2019-11-27,1466.2,Recommended,292
730,2017-01-23,3124.2,Recommended,587
730,2024-01-25,2460.5,Not Recommended,310
730,2024-10-06,1015.1,Recommended,158
730,2015-01-06,543.1,Recommended,2036
730,2020-11-17,218.0,Recommended,466
730,2017-06-09,20.3,Recommended,1248
730,2023-09-27,51.1,Not Recommended,496
730,2023-09-27,261.6,Recommended,1685
730,2024-12-10,5209.2,Recommended,354
730,2018-12-07,3047.2,Not Recommended,2401
730,2016-06-26,2130.0,Recommended,56
730,2024-03-02,5.1,Recommended,988
730,2021-12-21,908.7,Recommended,222
730,2023-09-28,52.8,Recommended,261
730,2016-07-20,12191.4,Recommended,80
730,2022-02-26,1535.4,Recommended,122
730,2023-12-14,277.3,Recommended,284
730,2022-06-15,353.4,Recommended,394
730,2017-06-27,2173.2,Recommended,1946
730,2015-06-05,2031.5,Recommended,5424
730,2022-11-12,143.0,Recommended,514
730,2015-01-24,1676.8,Recommended,6401
730,2019-03-13,4907.4,Recommended,407
730,2022-09-28,2832.7,Recommended,526
730,2015-06-20,500.1,Recommended,1040
730,2016-09-04,195.4,Recommended,488
730,2017-11-24,562.5,Recommended,178
730,2017-12-01,1819.9,Recommended,127
730,2013-12-14,1560.5,Recommended,147
730,2024-11-03,2714.6,Not Recommended,322
730,2023-07-18,1143.2,Recommended,826
730,2017-10-28,3074.7,Recommended,132
730,2024-01-12,861.8,Recommended,333
730,2016-04-16,2309.3,Recommended,374
730,2022-03-02,1227.8,Recommended,212
730,2020-12-17,3655.4,Recommended,152
730,2021-03-09,1705.4,Recommended,297
730,2022-08-18,85.9,Recommended,360
730,2015-01-23,2697.0,Recommended,79
730,2013-12-05,1444.3,Recommended,4839
730,2014-10-09,3057.5,Recommended,1641
730,2015-12-01,887.8,Recommended,1631
730,2022-03-26,2025.3,Recommended,169
730,2024-03-31,1657.5,Recommended,349
730,2021-06-24,2935.7,Not Recommended,413
730,2017-06-27,654.8,Recommended,656
730,2023-07-04,225.7,Recommended,91
730,2017-06-24,2659.4,Recommended,651
730,2020-04-24,1049.1,Recommended,178
730,2016-08-18,4175.7,Recommended,314
730,2018-12-06,1248.0,Not Recommended,2526
730,2024-02-10,761.3,Recommended,179
730,2018-12-07,2079.4,Recommended,4168
730,2023-09-28,910.2,Not Recommended,176
730,2022-06-24,214.9,Recommended,136
730,2018-09-05,530.3,Recommended,147
730,2022-06-15,69.1,Not Recommended,589
730,2019-09-05,3520.0,Recommended,221
730,2023-02-12,8239.6,Recommended,137
730,2014-12-18,1332.1,Recommended,3210
730,2024-06-07,578.2,Not Recommended,169
730,2014-06-21,4183.1,Recommended,244
730,2017-02-13,1363.0,Recommended,418
730,2024-11-08,82.2,Recommended,111
730,2016-11-26,2123.5,Recommended,737
730,2021-12-24,905.2,Recommended,496
730,2024-01-25,4821.8,Recommended,216
730,2022-04-17,676.7,Recommended,182
730,2014-06-17,22495.4,Recommended,163
730,2015-12-15,1704.7,Recommended,414
730,2019-02-10,270.9,Recommended,212
730,2018-12-07,1507.2,Not Recommended,700
730,2016-06-16,1652.4,Recommended,1100
730,2020-06-25,2651.2,Recommended,678
730,2021-08-29,873.9,Recommended,295
730,2021-08-29,109.4,Recommended,513
730,2024-01-20,153.7,Not Recommended,107
730,2024-01-31,113.7,Not Recommended,465
730,2020-10-20,3181.7,Recommended,259
730,2024-08-09,536.4,Recommended,269
730,2013-11-25,5178.1,Recommended,4589
730,2019-06-06,935.8,Recommended,166
730,2023-08-13,283.6,Recommended,1274
730,2015-04-29,1403.6,Recommended,988
730,2021-08-19,2342.1,Recommended,156
730,2017-10-20,369.6,Recommended,383
730,2023-10-20,2697.0,Recommended,53
730,2019-02-07,197.5,Recommended,275
730,2016-06-14,6972.6,Recommended,1074
730,2018-10-12,118.1,Recommended,237
730,2023-11-09,109.9,Not Recommended,165
730,2024-10-08,8582.3,Not Recommended,146
730,2024-12-29,3112.5,Recommended,57
730,2020-03-29,3640.1,Recommended,57
730,2023-02-09,2648.1,Recommended,150
730,2017-08-13,2705.4,Recommended,51
730,2024-01-20,174.8,Not Recommended,130
730,2020-08-03,714.9,Recommended,159
730,2020-02-02,4375.0,Recommended,197
730,2018-06-23,243.3,Recommended,174
730,2021-10-26,506.0,Recommended,230
730,2018-12-07,50.8,Not Recommended,1414
730,2015-03-07,4792.5,Recommended,81
730,2017-03-08,2416.2,Recommended,299
730,2022-07-06,107.4,Recommended,100
730,2022-12-07,463.6,Recommended,780
730,2018-12-07,38.1,Recommended,5199
730,2023-04-19,15.9,Recommended,238
730,2023-12-18,189.9,Recommended,159
730,2019-12-25,8417.1,Recommended,189
730,2016-10-01,2812.6,Recommended,506
730,2023-06-30,90.8,Recommended,115
730,2019-02-10,2860.5,Recommended,136
730,2014-12-20,2299.7,Recommended,88
730,2023-03-22,2120.7,Recommended,412
730,2016-09-12,1470.4,Recommended,257
730,2020-10-03,8544.9,Recommended,197
730,2023-11-15,2523.2,Not Recommended,453
730,2015-02-22,200.3,Recommended,1239
730,2015-01-09,4342.9,Recommended,829
730,2021-09-22,4095.4,Recommended,138
730,2022-07-15,4307.8,Recommended,141
730,2016-11-24,1644.3,Recommended,65
730,2023-06-09,1675.2,Recommended,262
730,2023-12-28,1753.2,Recommended,342
730,2022-04-24,9163.1,Recommended,176
730,2022-12-31,1645.6,Recommended,159
730,2024-04-05,1191.0,Recommended,400
