Game,Date,Hours Played,Recommendation,Helpful Votes
578080,2020-10-22,1261.7,Not Recommended,62
578080,2018-03-31,333.8,Not Recommended,1084
578080,2019-09-03,2223.3,Not Recommended,71
578080,2018-03-04,260.3,Not Recommended,79
578080,2017-10-02,617.5,Not Recommended,1006
578080,2017-03-26,256.6,Recommended,82
578080,2022-10-21,1.4,Not Recommended,128
578080,2018-01-21,85.8,Recommended,709
578080,2023-06-06,422.5,Not Recommended,71
578080,2023-10-13,816.3,Recommended,46
578080,2017-11-28,180.6,Recommended,64
578080,2019-11-26,1370.9,Recommended,84
578080,2022-04-26,51.6,Not Recommended,103
578080,2017-03-26,115.6,Recommended,30
578080,2017-04-22,232.4,Recommended,53
578080,2017-10-18,567.4,Not Recommended,33
578080,2017-12-21,606.1,Recommended,3686
578080,2018-01-25,806.3,Not Recommended,139
578080,2024-07-16,90.8,Not Recommended,63
578080,2021-02-13,335.3,Not Recommended,75
578080,2018-12-25,2371.0,Not Recommended,83
578080,2020-11-08,770.1,Recommended,147
578080,2021-10-25,36.0,Not Recommended,69
578080,2018-11-23,577.4,Not Recommended,54
578080,2023-04-28,768.5,Not Recommended,113
578080,2020-11-01,769.6,Recommended,70
578080,2022-12-31,2123.9,Recommended,53
578080,2017-10-27,519.7,Recommended,182
578080,2022-08-10,14.2,Not Recommended,110
578080,2023-11-11,558.1,Recommended,40
578080,2022-01-15,7.8,Recommended,484
578080,2018-01-08,318.1,Recommended,24
578080,2017-08-11,971.3,Not Recommended,1822
578080,2017-09-29,257.4,Not Recommended,2479
578080,2021-09-12,1914.6,Not Recommended,47
578080,2023-02-27,27.7,Recommended,199
578080,2022-02-05,1073.6,Not Recommended,142
578080,2024-10-11,1505.8,Not Recommended,55
578080,2017-04-17,704.4,Not Recommended,0
578080,2018-11-03,1374.2,Recommended,0
578080,2023-10-30,502.0,Recommended,170
578080,2020-10-21,2049.5,Not Recommended,53
578080,2018-07-25,963.3,Recommended,416
578080,2017-12-29,741.4,Recommended,0
578080,2017-03-28,14.6,Recommended,228
578080,2023-10-03,881.1,Recommended,25
578080,2021-10-16,83.9,Recommended,26
578080,2022-04-18,8.2,Recommended,85
578080,2021-12-02,863.5,Not Recommended,57
578080,2018-07-26,171.9,Not Recommended,147
578080,2017-07-03,509.4,Recommended,34
578080,2023-09-25,0.4,Recommended,186
578080,2018-04-02,343.7,Not Recommended,142
578080,2018-01-09,392.0,Not Recommended,30
578080,2018-04-12,455.2,Not Recommended,216
578080,2017-12-21,441.1,Not Recommended,286
578080,2023-02-05,356.6,Recommended,57
578080,2020-07-26,6274.3,Not Recommended,40
578080,2019-07-05,302.3,Not Recommended,350
578080,2019-03-28,43.9,Not Recommended,559
578080,2017-06-28,1624.7,Recommended,508
